Definiere: Marke	"Ein Zeichen, das geeignet ist, Waren oder Dienstleistungen eines Unternehmens von denjenigen anderer Unternehmen zu unterscheiden (<a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 1 MarkenG</a>). Schutz entsteht durch Eintragung, Verkehrsgeltung oder notorische Bekanntheit (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 1 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__1.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 1 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>"	Begriff Grundlagen
"Welche Entscheidung (BPatG) steht für folgenden Grundsatz?<br><br>Ein beim DPMA gestellter Nichtigkeitsantrag wegen älterer Rechte kann eine Unionsmarke nicht angreifen und ist deshalb für ein Widerspruchsbeschwerdeverfahren aus dieser Unionsmarke nicht vorgreiflich. Auch ein Antrag beim EUIPO (<a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32017R1001"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 60 UMV</a>) zwingt nicht zur Aussetzung nach <a href=""https://www.gesetze-im-internet.de/zpo/__148.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 148 ZPO</a>: Erfolgsaussichten und Dauer sind offen, und die Löschung der angegriffenen Marke lässt sich über die Eintragungsbewilligungsklage nach <a href=""https://www.gesetze-im-internet.de/markeng/__44.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 44</a> rückgängig machen, die als Korrektiv der beschränkten Prüfung im Widerspruchsverfahren dient. Vorlage der Klausur NS I/2024."	BPatG „Aussetzung bei Nichtigkeitsantrag gegen die Unionswiderspruchsmarke“ – 29 W (pat) 522/20 (2022), ECLI:DE:BPatG:2022:070322B29Wpat522.20.0	Rechtsprechung Umkehr BPatG Verfahren Unionsmarke Klausur_NS
BPatG „Silberweide (Zuordnung der Widerspruchsgebühr)“ (26 W (pat) 30/20, 2022) – Kernaussage?	"Wird aus zwei Widerspruchskennzeichen Widerspruch erhoben, aber nur die Grundgebühr von 250 Euro gezahlt, kann der Widersprechende auch nach Ablauf der Widerspruchsfrist klarstellen, für welches Kennzeichen die Zahlung bestimmt ist; die Angabe 'aus der Wortmarke' ist eindeutig, weil ein Unternehmenskennzeichen keine Wortmarke ist. Eine rechtzeitig per Telefax eingereichte, amtsintern nicht weitergeleitete Klarstellung geht nicht zu Lasten des Widersprechenden. Aufhebung, Zurückverweisung und Rückzahlung der Beschwerdegebühr. Vorlage der Klausur NS I/2025 ('NITREDA/INTREDA').<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__42.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 42 Abs. 1 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__42.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 42 Abs. 3 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__64a.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 64a MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__70.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 70 Abs. 3 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__71.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 71 Abs. 3 MarkenG</a><br>Fundstelle: ECLI:DE:BPatG:2022:180722B26Wpat30.20.0"	Rechtsprechung BPatG Verfahren Widerspruch Klausur_NS
Welche Entscheidung (BPatG) steht für folgenden Grundsatz?<br><br>Wird aus zwei Widerspruchskennzeichen Widerspruch erhoben, aber nur die Grundgebühr von 250 Euro gezahlt, kann der Widersprechende auch nach Ablauf der Widerspruchsfrist klarstellen, für welches Kennzeichen die Zahlung bestimmt ist; die Angabe 'aus der Wortmarke' ist eindeutig, weil ein Unternehmenskennzeichen keine Wortmarke ist. Eine rechtzeitig per Telefax eingereichte, amtsintern nicht weitergeleitete Klarstellung geht nicht zu Lasten des Widersprechenden. Aufhebung, Zurückverweisung und Rückzahlung der Beschwerdegebühr. Vorlage der Klausur NS I/2025 ('NITREDA/INTREDA').	BPatG „Silberweide (Zuordnung der Widerspruchsgebühr)“ – 26 W (pat) 30/20 (2022), ECLI:DE:BPatG:2022:180722B26Wpat30.20.0	Rechtsprechung Umkehr BPatG Verfahren Widerspruch Klausur_NS
BPatG „Engelbrecht/Stadtbäckerei Engelbrecht GmbH“ (25 W (pat) 52/21, 2022) – Kernaussage?	"Das Unternehmenskennzeichen einer regional tätigen Bäckerei (Filialen in einer Stadt und Umgebung, Lieferfahrzeuge, Internetauftritt) berechtigt nicht, die Benutzung einer jüngeren Marke im gesamten Bundesgebiet zu untersagen, und trägt deshalb keinen Widerspruch nach <a href=""https://www.gesetze-im-internet.de/markeng/__42.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 42 Abs. 2 Nr. 4</a>. Der Einwand, die angegriffene Marke sei bösgläubig angemeldet, wird im Widerspruchsverfahren nicht berücksichtigt; <a href=""https://www.gesetze-im-internet.de/markeng/__50.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 50 Abs. 3</a> ist wegen der getrennten Zuständigkeiten von Markenstelle und Markenabteilung nicht analog anwendbar. Wer trotz eindeutiger Rechtslage Beschwerde einlegt, trägt aus Billigkeit die Kosten (<a href=""https://www.gesetze-im-internet.de/markeng/__71.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 71 Abs. 1</a>). Vorlage der Klausur NS II/2025 ('Gold-Bärger').<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__12.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 12 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__28.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 28 Abs. 2 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__42.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 42 Abs. 2 Nr. 4 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__5.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 5 Abs. 2 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__50.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 50 Abs. 3 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__71.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 71 Abs. 1 MarkenG</a><br>Fundstelle: ECLI:DE:BPatG:2022:241022B25Wpat52.21.0"	Rechtsprechung BPatG Unternehmenskennzeichen Bösgläubigkeit Klausur_NS
"Welche Entscheidung (BPatG) steht für folgenden Grundsatz?<br><br>Das Unternehmenskennzeichen einer regional tätigen Bäckerei (Filialen in einer Stadt und Umgebung, Lieferfahrzeuge, Internetauftritt) berechtigt nicht, die Benutzung einer jüngeren Marke im gesamten Bundesgebiet zu untersagen, und trägt deshalb keinen Widerspruch nach <a href=""https://www.gesetze-im-internet.de/markeng/__42.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 42 Abs. 2 Nr. 4</a>. Der Einwand, die angegriffene Marke sei bösgläubig angemeldet, wird im Widerspruchsverfahren nicht berücksichtigt; <a href=""https://www.gesetze-im-internet.de/markeng/__50.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 50 Abs. 3</a> ist wegen der getrennten Zuständigkeiten von Markenstelle und Markenabteilung nicht analog anwendbar. Wer trotz eindeutiger Rechtslage Beschwerde einlegt, trägt aus Billigkeit die Kosten (<a href=""https://www.gesetze-im-internet.de/markeng/__71.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 71 Abs. 1</a>). Vorlage der Klausur NS II/2025 ('Gold-Bärger')."	BPatG „Engelbrecht/Stadtbäckerei Engelbrecht GmbH“ – 25 W (pat) 52/21 (2022), ECLI:DE:BPatG:2022:241022B25Wpat52.21.0	Rechtsprechung Umkehr BPatG Unternehmenskennzeichen Bösgläubigkeit Klausur_NS
BPatG „BLIZZARD (Beschwerde einer gelöschten UG)“ (30 W (pat) 61/23, 2024) – Kernaussage?	"Wird die Inhaberin der angegriffenen Marke (eine UG) wegen Vermögenslosigkeit im Handelsregister gelöscht, bleibt sie rechts- und beteiligtenfähig, solange die Marke noch einen Vermögenswert darstellt; sie wird aber prozessunfähig, weil die Vertretungsbefugnis des Geschäftsführers endet. Das Verfahren ist nach <a href=""https://www.gesetze-im-internet.de/zpo/__241.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 241 ZPO</a> unterbrochen, bis ein Nachtragsliquidator (<a href=""https://www.gesetze-im-internet.de/gmbhg/__66.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 66 Abs. 5 GmbHG</a>) bestellt ist. Eine vom früheren Geschäftsführer eingelegte Beschwerde ist unzulässig; ein trotz Unterbrechung ergangener Beschluss ist unwirksam, aber nicht nichtig. Vorbild für die Klausur NS III/2024.<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__66.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 66 Abs. 1 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__7.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 7 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__71.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 71 Abs. 3 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__82.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 82 Abs. 1 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__94.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 94 MarkenG</a><br>Fundstelle: ECLI:DE:BPatG:2024:010224B30Wpat61.23.0"	Rechtsprechung BPatG Verfahren Klausur_NS
"Welche Entscheidung (BPatG) steht für folgenden Grundsatz?<br><br>Wird die Inhaberin der angegriffenen Marke (eine UG) wegen Vermögenslosigkeit im Handelsregister gelöscht, bleibt sie rechts- und beteiligtenfähig, solange die Marke noch einen Vermögenswert darstellt; sie wird aber prozessunfähig, weil die Vertretungsbefugnis des Geschäftsführers endet. Das Verfahren ist nach <a href=""https://www.gesetze-im-internet.de/zpo/__241.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 241 ZPO</a> unterbrochen, bis ein Nachtragsliquidator (<a href=""https://www.gesetze-im-internet.de/gmbhg/__66.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 66 Abs. 5 GmbHG</a>) bestellt ist. Eine vom früheren Geschäftsführer eingelegte Beschwerde ist unzulässig; ein trotz Unterbrechung ergangener Beschluss ist unwirksam, aber nicht nichtig. Vorbild für die Klausur NS III/2024."	BPatG „BLIZZARD (Beschwerde einer gelöschten UG)“ – 30 W (pat) 61/23 (2024), ECLI:DE:BPatG:2024:010224B30Wpat61.23.0	Rechtsprechung Umkehr BPatG Verfahren Klausur_NS
BGH „Deutscher Balsamico (Vorlagebeschluss)“ (I ZR 253/16, 2018) – Kernaussage?	"Vorlage an den EuGH zur Frage, ob sich der Schutz der geschützten geografischen Angabe 'Aceto Balsamico di Modena' auch auf die einzelnen nichtgeografischen Begriffe der zusammengesetzten Bezeichnung ('Aceto', 'Balsamico') erstreckt. Ansprüche wegen Verletzung einer g.g.A. richten sich nach Art. 13 der Verordnung (EU) Nr. 1151/2012 in Verbindung mit <a href=""https://www.gesetze-im-internet.de/markeng/__135.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 135</a>. In der Lösungsskizze zur Klausur NS II/2018 ('Wuppertaler Flönz') herangezogen.<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__135.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 135 Abs. 1 MarkenG</a><br>Fundstelle: ECLI:DE:BGH:2018:120418BIZR253.16.0"	Rechtsprechung BGH Herkunftsangaben Klausur_NS
"Welche Entscheidung (BGH) steht für folgenden Grundsatz?<br><br>Vorlage an den EuGH zur Frage, ob sich der Schutz der geschützten geografischen Angabe 'Aceto Balsamico di Modena' auch auf die einzelnen nichtgeografischen Begriffe der zusammengesetzten Bezeichnung ('Aceto', 'Balsamico') erstreckt. Ansprüche wegen Verletzung einer g.g.A. richten sich nach Art. 13 der Verordnung (EU) Nr. 1151/2012 in Verbindung mit <a href=""https://www.gesetze-im-internet.de/markeng/__135.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 135</a>. In der Lösungsskizze zur Klausur NS II/2018 ('Wuppertaler Flönz') herangezogen."	BGH „Deutscher Balsamico (Vorlagebeschluss)“ – I ZR 253/16 (2018), ECLI:DE:BGH:2018:120418BIZR253.16.0	Rechtsprechung Umkehr BGH Herkunftsangaben Klausur_NS
EuGH „Aceto Balsamico di Modena (Balema)“ (C-432/18, 2019) – Kernaussage?	"Der Schutz der g.g.A. 'Aceto Balsamico di Modena' erstreckt sich nicht auf die Verwendung der einzelnen nichtgeografischen Begriffe 'Aceto' und 'Balsamico'; diese sind Gattungs- bzw. Beschaffenheitsangaben. Anders liegt es, wenn die geschützte Bezeichnung selbst (etwa 'Flönz') vollständig für ein Erzeugnis verwendet wird, das der Spezifikation nicht entspricht.<br><br>Normen: <a href=""https://www.gesetze-im-internet.de/markeng/__135.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 135 Abs. 1 MarkenG</a><br>Fundstelle: GRUR 2020, 187"	Rechtsprechung EuGH Herkunftsangaben Klausur_NS
Welche Entscheidung (EuGH) steht für folgenden Grundsatz?<br><br>Der Schutz der g.g.A. 'Aceto Balsamico di Modena' erstreckt sich nicht auf die Verwendung der einzelnen nichtgeografischen Begriffe 'Aceto' und 'Balsamico'; diese sind Gattungs- bzw. Beschaffenheitsangaben. Anders liegt es, wenn die geschützte Bezeichnung selbst (etwa 'Flönz') vollständig für ein Erzeugnis verwendet wird, das der Spezifikation nicht entspricht.	EuGH „Aceto Balsamico di Modena (Balema)“ – C-432/18 (2019), GRUR 2020, 187	Rechtsprechung Umkehr EuGH Herkunftsangaben Klausur_NS
BGH „Faxkarte“ (I ZR 45/01, 2002) – Kernaussage?	"Der Besichtigungsanspruch aus <a href=""https://www.gesetze-im-internet.de/bgb/__809.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 809 BGB</a> setzt nur einen gewissen Grad an Wahrscheinlichkeit einer Rechtsverletzung voraus, nicht deren Nachweis; das Geheimhaltungsinteresse des Besitzers ist im Rahmen einer umfassenden Interessenabwägung zu berücksichtigen und kann durch Einschaltung eines zur Verschwiegenheit verpflichteten Sachverständigen gewahrt werden. Vorbild des <a href=""https://www.gesetze-im-internet.de/markeng/__19a.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19a MarkenG</a> und des „Düsseldorfer Verfahrens“.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 6 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 7 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19a.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19a MarkenG</a><br>Fundstelle: GRUR 2002, 1046 = BGHZ 150, 377"	Rechtsprechung BGH Durchsetzung Beweise
"Welche Entscheidung (BGH) steht für folgenden Grundsatz?<br><br>Der Besichtigungsanspruch aus <a href=""https://www.gesetze-im-internet.de/bgb/__809.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 809 BGB</a> setzt nur einen gewissen Grad an Wahrscheinlichkeit einer Rechtsverletzung voraus, nicht deren Nachweis; das Geheimhaltungsinteresse des Besitzers ist im Rahmen einer umfassenden Interessenabwägung zu berücksichtigen und kann durch Einschaltung eines zur Verschwiegenheit verpflichteten Sachverständigen gewahrt werden. Vorbild des <a href=""https://www.gesetze-im-internet.de/markeng/__19a.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19a MarkenG</a> und des „Düsseldorfer Verfahrens“."	BGH „Faxkarte“ – I ZR 45/01 (2002), GRUR 2002, 1046 = BGHZ 150, 377	Rechtsprechung Umkehr BGH Durchsetzung Beweise
EuGH „Promusicae/Telefónica“ (C-275/06, 2008) – Kernaussage?	"Das Unionsrecht (Durchsetzungs-, E-Commerce-, InfoSoc- und Datenschutzrichtlinie) verpflichtet die Mitgliedstaaten nicht, zur Durchsetzung des Urheberrechts eine Pflicht zur Herausgabe personenbezogener Verkehrsdaten im Zivilverfahren vorzusehen. Bei Umsetzung und Anwendung müssen sie aber ein angemessenes Gleichgewicht zwischen dem Schutz des geistigen Eigentums (Art. 17 Abs. 2 GRCh) und dem Datenschutz herstellen. Hintergrund des Richtervorbehalts für Verkehrsdaten in <a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 9 MarkenG</a>.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 9 MarkenG</a><br>Fundstelle: GRUR 2008, 241"	Rechtsprechung EuGH Durchsetzung Auskunft Datenschutz
"Welche Entscheidung (EuGH) steht für folgenden Grundsatz?<br><br>Das Unionsrecht (Durchsetzungs-, E-Commerce-, InfoSoc- und Datenschutzrichtlinie) verpflichtet die Mitgliedstaaten nicht, zur Durchsetzung des Urheberrechts eine Pflicht zur Herausgabe personenbezogener Verkehrsdaten im Zivilverfahren vorzusehen. Bei Umsetzung und Anwendung müssen sie aber ein angemessenes Gleichgewicht zwischen dem Schutz des geistigen Eigentums (Art. 17 Abs. 2 GRCh) und dem Datenschutz herstellen. Hintergrund des Richtervorbehalts für Verkehrsdaten in <a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 9 MarkenG</a>."	EuGH „Promusicae/Telefónica“ – C-275/06 (2008), GRUR 2008, 241	Rechtsprechung Umkehr EuGH Durchsetzung Auskunft Datenschutz
EuGH „L'Oréal/eBay“ (C-324/09, 2011) – Kernaussage?	"Der Betreiber eines Online-Marktplatzes benutzt die Marken der Angebote nicht selbst; das Haftungsprivileg des Art. 14 E-Commerce-RL gilt nur bei neutraler Rolle. Nach <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 11 S. 3 DurchsetzungsRL</a> müssen die Gerichte dem Betreiber als Mittelsperson Maßnahmen aufgeben können, die nicht nur die konkrete Verletzung beenden, sondern auch neue Verletzungen derselben Art verhindern; sie müssen wirksam, verhältnismäßig und abschreckend sein, dürfen aber keine allgemeine Überwachungspflicht begründen und den rechtmäßigen Handel nicht behindern.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 11 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 3 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 2 Nr. 1 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 5 MarkenG</a><br>Fundstelle: GRUR 2011, 1025"	Rechtsprechung EuGH Durchsetzung Mittelspersonen Störerhaftung
"Welche Entscheidung (EuGH) steht für folgenden Grundsatz?<br><br>Der Betreiber eines Online-Marktplatzes benutzt die Marken der Angebote nicht selbst; das Haftungsprivileg des Art. 14 E-Commerce-RL gilt nur bei neutraler Rolle. Nach <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 11 S. 3 DurchsetzungsRL</a> müssen die Gerichte dem Betreiber als Mittelsperson Maßnahmen aufgeben können, die nicht nur die konkrete Verletzung beenden, sondern auch neue Verletzungen derselben Art verhindern; sie müssen wirksam, verhältnismäßig und abschreckend sein, dürfen aber keine allgemeine Überwachungspflicht begründen und den rechtmäßigen Handel nicht behindern."	EuGH „L'Oréal/eBay“ – C-324/09 (2011), GRUR 2011, 1025	Rechtsprechung Umkehr EuGH Durchsetzung Mittelspersonen Störerhaftung
EuGH „Coty Germany/Stadtsparkasse Magdeburg“ (C-580/13, 2015) – Kernaussage?	"<a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 Abs. 3 lit. e DurchsetzungsRL</a> steht einer nationalen Regelung entgegen, die es einem Bankinstitut erlaubt, unter Berufung auf das Bankgeheimnis unbegrenzt und bedingungslos die Auskunft über Name und Anschrift eines Kontoinhabers zu verweigern, über dessen Konto der Kaufpreis für gefälschte Markenware abgewickelt wurde. Das Recht auf Auskunft (Art. 17 Abs. 2, 47 GRCh) und der Schutz personenbezogener Daten (Art. 8 GRCh) sind in ein angemessenes Gleichgewicht zu bringen.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 Abs. 3 lit. e DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 2 MarkenG</a><br>Fundstelle: GRUR 2015, 899"	Rechtsprechung EuGH Durchsetzung Auskunft Bankgeheimnis
"Welche Entscheidung (EuGH) steht für folgenden Grundsatz?<br><br><a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 Abs. 3 lit. e DurchsetzungsRL</a> steht einer nationalen Regelung entgegen, die es einem Bankinstitut erlaubt, unter Berufung auf das Bankgeheimnis unbegrenzt und bedingungslos die Auskunft über Name und Anschrift eines Kontoinhabers zu verweigern, über dessen Konto der Kaufpreis für gefälschte Markenware abgewickelt wurde. Das Recht auf Auskunft (Art. 17 Abs. 2, 47 GRCh) und der Schutz personenbezogener Daten (Art. 8 GRCh) sind in ein angemessenes Gleichgewicht zu bringen."	EuGH „Coty Germany/Stadtsparkasse Magdeburg“ – C-580/13 (2015), GRUR 2015, 899	Rechtsprechung Umkehr EuGH Durchsetzung Auskunft Bankgeheimnis
BGH „Davidoff Hot Water II“ (I ZR 51/12, 2015) – Kernaussage?	"<a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 2 S. 1</a> Halbs. 2 MarkenG ist richtlinienkonform dahin auszulegen, dass ein Bankinstitut die Auskunft über Name und Anschrift eines Kontoinhabers nicht unter Berufung auf das Bankgeheimnis (<a href=""https://www.gesetze-im-internet.de/zpo/__383.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 383 Abs. 1 Nr. 6 ZPO</a>) verweigern darf, wenn über das Konto der Kaufpreis für offensichtlich markenverletzende Ware abgewickelt wurde. Umsetzung der Vorabentscheidung Coty/Stadtsparkasse.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 2 MarkenG</a><br>Fundstelle: NJW 2016, 2190"	Rechtsprechung BGH Durchsetzung Auskunft Bankgeheimnis
"Welche Entscheidung (BGH) steht für folgenden Grundsatz?<br><br><a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 2 S. 1</a> Halbs. 2 MarkenG ist richtlinienkonform dahin auszulegen, dass ein Bankinstitut die Auskunft über Name und Anschrift eines Kontoinhabers nicht unter Berufung auf das Bankgeheimnis (<a href=""https://www.gesetze-im-internet.de/zpo/__383.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 383 Abs. 1 Nr. 6 ZPO</a>) verweigern darf, wenn über das Konto der Kaufpreis für offensichtlich markenverletzende Ware abgewickelt wurde. Umsetzung der Vorabentscheidung Coty/Stadtsparkasse."	BGH „Davidoff Hot Water II“ – I ZR 51/12 (2015), NJW 2016, 2190	Rechtsprechung Umkehr BGH Durchsetzung Auskunft Bankgeheimnis
EuGH „Liffers/Mandarina“ (C-99/15, 2016) – Kernaussage?	"Wer seinen Schaden pauschal nach der Lizenzanalogie (Art. 13 Abs. 1 UAbs. 2 lit. b DurchsetzungsRL) berechnet, kann daneben Ersatz des immateriellen Schadens verlangen. Der Pauschalbetrag ist nach dem Wortlaut („mindestens“) eine Untergrenze und deckt nicht jeden Schaden ab; Ziel ist der Ausgleich des tatsächlich erlittenen Schadens.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 13 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 6 MarkenG</a>"	Rechtsprechung EuGH Durchsetzung Schadensersatz
Welche Entscheidung (EuGH) steht für folgenden Grundsatz?<br><br>Wer seinen Schaden pauschal nach der Lizenzanalogie (Art. 13 Abs. 1 UAbs. 2 lit. b DurchsetzungsRL) berechnet, kann daneben Ersatz des immateriellen Schadens verlangen. Der Pauschalbetrag ist nach dem Wortlaut („mindestens“) eine Untergrenze und deckt nicht jeden Schaden ab; Ziel ist der Ausgleich des tatsächlich erlittenen Schadens.	EuGH „Liffers/Mandarina“ – C-99/15 (2016), 	Rechtsprechung Umkehr EuGH Durchsetzung Schadensersatz
